,City,Distance,Time,SoL,Min,Max,Std,population
0,New York,27,2.09,0.135,1.98,2.23,0.07,8175133
1,Piscataway,50,1.26,0.5,1.13,1.66,0.12,56044
2,Philadelphia,138,3.32,0.46,3.17,3.46,0.09,1526006
3,Albany,218,4.16,0.545,4.02,4.36,0.08,97856
4,Baltimore,281,10.45,0.281,10.07,13.21,0.62,620961
5,Boston,297,11.46,0.27,6.28,36.95,8.85,617594
6,Syracuse,309,12.89,0.2575,12.76,13.18,0.18,145170
7,Salem,318,7.57,0.4543,7.47,7.81,0.07,154637
8,Washington,355,8.12,0.4438,8.01,8.4,0.15,601723
9,Buffalo,469,12.2,0.3908,12.07,12.32,0.15,261310
10,Brunswick,477,13.2,0.3669,12.99,13.55,0.19,34255
11,Pittsburgh,509,14.65,0.3636,14.58,14.72,0.17,305704
12,Montreal,525,10.63,0.525,10.49,10.86,0.11,3268513
13,Ottawa,534,19.15,0.2811,19.04,19.44,0.19,812129
14,Toronto,549,13.86,0.4223,13.74,13.99,0.17,2600000
15,Cleveland,625,26.03,0.2404,25.82,26.34,0.24,396815
16,Raleigh,699,13.34,0.5377,13.15,14.58,0.29,403892
17,Quebec City,705,13.42,0.5423,12.39,18.11,1.08,542000
18,Columbus,771,15.86,0.514,15.64,16.25,0.15,787033
19,Detroit,774,20.2,0.387,20.05,20.54,0.22,713777
20,Toledo,809,28.35,0.2889,28.15,28.65,0.13,287208
21,Charlotte,863,18.95,0.4794,18.79,19.07,0.19,731424
22,Lansing,904,29.27,0.3117,29.17,29.53,0.1,114297
23,Cincinnati,919,30.95,0.3063,30.8,31.11,0.08,296943
24,Halifax,948,17.86,0.5576,17.56,19.66,0.38,359111
25,Knoxville,1021,35.33,0.2917,26.15,144.47,25.79,178874
26,South Bend,1031,24.31,0.4296,23.37,35.96,2.52,101168
27,Indianapolis,1040,24.51,0.4333,24.46,24.58,0.19,829718
28,Chicago,1148,21.77,0.5467,21.68,21.87,0.2,2695598
29,Savannah,1159,43.26,0.2695,40.52,46.66,1.58,136286
30,Atlanta,1208,20.66,0.604,20.5,20.75,0.15,420003
31,Green Bay,1220,33.51,0.3697,33.43,33.66,0.1,104057
32,Jacksonville,1354,27.24,0.5015,27.14,27.31,0.04,821784
33,Orlando,1520,26.08,0.5846,25.94,26.78,0.25,238300
34,Memphis,1540,34.46,0.4529,34.38,34.87,0.26,646889
35,Tampa,1625,34.58,0.4779,34.42,34.7,0.26,335709
36,Des Moines,1644,31.42,0.5303,31.35,31.49,0.24,203433
37,Minneapolis,1717,32.89,0.5366,32.32,33.84,0.35,382578
38,Jackson,1725,39.89,0.4423,39.69,40.76,0.28,173514
39,Kansas City,1764,35.81,0.504,35.7,35.94,0.06,459787
40,Miami,1767,31.75,0.57,31.43,35.6,0.8,399457
41,New Orleans,1886,48.24,0.3929,48.16,48.44,0.23,343829
42,Lincoln,1907,35.03,0.5449,34.87,35.21,0.27,258379
43,Winnipeg,2063,84.26,0.2456,83.85,87.76,0.68,632063
44,Oklahoma City,2137,43.38,0.497,43.28,43.66,0.19,579999
45,Dallas,2212,42.19,0.5267,42.12,42.32,0.26,1197816
46,Houston,2288,31.83,0.7381,31.65,31.96,0.13,2099451
47,Austin,2440,41.36,0.5951,41.25,41.44,0.16,790390
48,San Antonio,2552,43.6,0.5935,43.5,43.9,0.26,1327407
49,San Juan,2596,38.8,0.6832,38.73,38.91,0.13,418140
50,Denver,2621,41.5,0.6393,41.42,41.63,0.24,600158
51,Colorado Springs,2628,46.63,0.5713,46.49,46.84,0.08,416427
52,Saskatoon,2774,43.4,0.6451,43.1,44.99,0.42,198958
53,Albuquerque,2914,55.11,0.5298,53.71,70.02,3.06,545852
54,La Ceiba,3045,5.01,6.09,4.65,6.24,0.37,130218
