id,domain,rtt-openssl
106206,www.westminster.edu,20.502220
155445,www.lincoln.edu,27.566374
14394,www.american.edu,27.677757
217283,www.com.edu,29.685752
93736,gallaudet.edu,29.862781
228226,www.usuhs.edu,32.069858
35175,www.ucmerced.edu,32.514684
202623,www.usergioarboleda.edu.co,37.085837
113936,www.pointpark.edu,42.801567
83893,www.kutztown.edu,48.772916
62242,www.mc3.edu,54.803887
170060,www.passhe.edu,56.507161
207595,www.lasu.edu.ng,60.905068
125492,www.skidmore.edu,61.128071
157787,www.nichols.edu,64.220714
16065,www.uvm.edu,66.646846
68825,uncg.edu,66.670954
120558,simmons.edu,70.003894
116499,qu.edu,71.756887
156616,www.iup.edu,72.467160
222063,lmunet.edu,73.017916
65601,www.quinnipiac.edu,74.021833
144548,www.gordon.edu,77.620723
9505,www.uconn.edu,77.759707
29540,www.mass.edu,78.318547
152353,www.camdencc.edu,78.864301
78170,www.fairfield.edu,80.402880
166441,www.usc.edu.eg,80.553524
94097,www.lemoyne.edu,80.976079
148652,www.berry.edu,85.963031
49734,www.chaffey.edu,87.027158
105213,www.ung.edu,88.012321
135730,www.delmar.edu,88.968504
161165,www.academiaexitus.edu.pe,89.568893
9305,www.sc.edu,90.432936
125406,www.reynolds.edu,90.586202
195903,www.lycoming.edu,91.098081
109947,www.plymouth.edu,91.652088
20396,artic.edu,92.571379
69123,www.musc.edu,95.228034
173618,www.colegioebenezer.edu.co,97.813741
9556,www.uic.edu,98.117013
54970,www.indwes.edu,98.384894
115892,www.atlm.edu,98.916613
171352,bju.edu,99.168335
132200,www.koi.edu.au,105.628056
180144,www.morton.edu,107.417362
8579,www.ohio-state.edu,108.145092
69255,www.etsu.edu,108.552613
200988,www.depauw.edu,108.587506
116546,www.sbu.edu,108.797852
97934,www.collegeforcreativestudies.edu,109.225598
84614,www.sunysuffolk.edu,110.224975
2627,www.illinois.edu,110.818757
184230,www.cetcolsubsidio.edu.co,110.894718
105615,www.uiuc.edu,112.114348
61111,www.uis.edu,113.741505
114733,www.mainemaritime.edu,116.237650
121074,www.queens.edu,116.375992
177115,www.clcillinois.edu,117.249527
157490,www.hgtc.edu,117.451278
12609,www.uga.edu,118.080588
33231,www.cod.edu,118.684890
145662,www.einstein.edu,118.813859
173126,www.wiregrass.edu,118.829325
223997,www.osumc.edu,119.818188
194102,esu.edu,120.275653
26620,www.niu.edu,120.574792
85407,www.midwestern.edu,124.531018
115387,www.eksu.edu.ng,125.819154
186068,www.colegiocreando.edu.do,126.142288
53917,www.usi.edu,130.551535
163980,www.southern.edu,130.939781
179013,www.fvtc.edu,131.081272
72678,lynn.edu,131.388186
15451,fordham.edu,131.754105
104950,www.imsa.edu,133.336757
104718,www.uwf.edu,135.797712
10642,www.wayne.edu,142.338983
36748,www.nova.edu,144.221691
133667,www.naropa.edu,144.673480
32089,www.unf.edu,146.021003
232412,www.siumed.edu,147.415445
143903,umflint.edu,148.186601
79742,www.daytonastate.edu,150.300114
120784,www.tjc.edu,152.708984
13638,rice.edu,155.118572
20395,www.mtsu.edu,155.929103
76645,www.washburn.edu,157.238163
60530,www.augusta.edu,158.252877
85700,www.iris.edu,159.681765
200593,www.istpargentina.edu.pe,160.793370
203489,www.ws.edu,162.824689
29620,www.macomb.edu,163.407503
49453,www.uthsc.edu,163.585115
9808,elearning.edu.sa,167.825177
33066,www.umsl.edu,168.537060
86269,www.carrollu.edu,173.887453
20503,www.smu.edu,174.937198
54165,centralmethodist.edu,175.098699
153834,www.iccms.edu,175.633599
94909,www.fsw.edu,175.960710
170326,www.roanestate.edu,177.064592
219939,www.grayson.edu,178.176711
101973,www.truman.edu,179.172314
17709,www.stcloudstate.edu,180.738288
36940,trustees.ufl.edu,181.515813
100285,www.uaex.edu,182.013996
165336,uthscsa.edu,186.649025
94066,www.georgiasouthern.edu,188.289590
40013,www.uark.edu,190.473385
30620,www.ku.edu,192.915798
86106,www.actx.edu,195.898347
151199,www.landivarinspira.edu.gt,198.133065
53592,www.louisiana.edu,200.950324
168463,www.briarcliff.edu,202.699718
8840,usf.edu,211.783418
53300,www.astate.edu,214.464610
95479,www.uww.edu,228.749788
152777,www.itep.edu.pe,233.014960
4130,www.tamu.edu,234.362843
25205,www.utep.edu,241.380071
5341,arizona.edu,250.684154
30554,www.uwi.edu,254.951913
18946,gcu.edu,258.353495
81701,www.missioncollege.edu,265.922910
22966,www.ucsc.edu,271.897233
