id,domain,rtt
2404,wisc.edu,2452.5686969999997
2540,ucla.edu,2451.0456050000003
2627,illinois.edu,2248.6661870000003
2969,ufl.edu,2430.695716
3039,szu.edu.cn,2024.46038
3218,istanbul.edu.tr,3501.093315
3367,uci.edu,2243.167817
3452,washington.edu,1855.7128699999998
3690,anadolu.edu.tr,1833.7966370000001
4130,tamu.edu,2622.612647
4269,cuhk.edu.hk,945.707616
4701,uw.edu,1831.4010859999999
5266,unsw.edu.au,1787.856459
5341,arizona.edu,2641.7994670000003
6370,valenciacollege.edu,2241.850445
6927,laccd.edu,4074.966097
7988,uitm.edu.my,716.440834
8130,rmit.edu.au,4197.22163
8191,aiou.edu.pk,2034.907491
8840,usf.edu,1987.472819
9305,sc.edu,3060.449045
9505,uconn.edu,2606.072654
9556,uic.edu,2523.6908280000002
10642,wayne.edu,3182.3147989999998
11531,oiu.edu.sd,2045.632705
11894,nap.edu,5308.153018
12500,open.edu,1843.310947
12609,uga.edu,1810.039367
13638,rice.edu,1662.8566720000001
13861,cccd.edu,2242.2564260000004
13898,uillinois.edu,2440.0659149999997
14944,brown.edu,1944.3177629999998
16065,uvm.edu,2651.487254
17105,byui.edu,2319.229704
18946,gcu.edu,2038.146343
20395,mtsu.edu,2867.2359260000003
20396,artic.edu,3256.995679
20503,smu.edu,2853.409842
20525,marmara.edu.tr,2643.283783
20706,montana.edu,2242.081648
20753,nau.edu,2048.224898
21858,saddleback.edu,2241.2924789999997
22323,tafensw.edu.au,3250.268578
22966,ucsc.edu,1754.8943179999999
23980,csulb.edu,1351.830999
25205,utep.edu,2392.027764
25695,selcuk.edu.tr,1854.261106
26401,kku.edu.sa,1537.214414
26620,niu.edu,1837.6990280000002
28186,palmbeachstate.edu,2132.798307
29620,macomb.edu,1767.935932
30275,tcu.edu,2240.5489829999997
30554,uwi.edu,4899.574731000001
30620,ku.edu,2070.90961
30970,iium.edu.my,464.760144
32089,unf.edu,2348.6008
32340,uvu.edu,2472.997282
33066,umsl.edu,2491.517228
33231,cod.edu,3266.399688
33583,ucv.edu.pe,2856.223359
35441,esan.edu.pe,3182.82478
35529,uj.edu.sa,2240.277623
35534,slcc.edu,2846.230093
35862,arabou.edu.kw,2639.515143
36748,nova.edu,3469.8914689999997
38522,wvm.edu,1733.776243
38753,utsouthwestern.edu,2717.920492
39916,pnu.edu.sa,2242.810038
40013,uark.edu,2445.393868
40318,butte.edu,2042.1956969999999
42702,miracosta.edu,2236.14881
46513,orangecoastcollege.edu,3246.625582
46725,bdu.edu.et,1831.4009839999999
46742,bahria.edu.pk,2064.455851
47455,csusm.edu,2445.6596210000002
48069,unomaha.edu,2123.152452
48074,uksw.edu,2014.648211
48917,ucanr.edu,1631.2205199999999
49304,mesacc.edu,1680.825982
49453,uthsc.edu,1705.60369
49734,chaffey.edu,1526.218256
50881,apu.edu,1772.0872570000001
50901,comsats.edu.pk,4076.67075
53462,greenriver.edu,1856.70087
53592,louisiana.edu,2242.341443
53914,snow.edu,4904.680651
53917,usi.edu,2233.020052
53991,iau.edu.sa,2261.9988789999998
54165,centralmethodist.edu,2556.433171
