id,domain,rtt
2404,wisc.edu,294.964287
2540,ucla.edu,55.994218
2627,illinois.edu,248.146685
2969,ufl.edu,345.341696
3039,szu.edu.cn,1117.683179
3218,istanbul.edu.tr,782.685511
3367,uci.edu,66.450903
3452,washington.edu,104.586594
3690,anadolu.edu.tr,1574.714773
4130,tamu.edu,330.958086
4269,cuhk.edu.hk,1243.727486
4701,uw.edu,99.029759
5266,unsw.edu.au,703.638784
5341,arizona.edu,171.845172
6370,valenciacollege.edu,327.125256
6927,laccd.edu,95.649686
7988,uitm.edu.my,750.389382
8130,rmit.edu.au,719.289091
8191,aiou.edu.pk,1208.576234
8840,usf.edu,360.929150
9305,sc.edu,319.118825
9505,uconn.edu,342.389658
9556,uic.edu,235.673083
10642,wayne.edu,275.037767
11531,oiu.edu.sd,611.110010
11894,nap.edu,401.240659
12500,open.edu,625.992559
12609,uga.edu,245.475859
13638,rice.edu,200.322744
13861,cccd.edu,69.195339
13898,uillinois.edu,239.227737
14944,brown.edu,334.121610
16065,uvm.edu,346.434684
17105,byui.edu,198.522634
18946,gcu.edu,86.211151
20395,mtsu.edu,261.483941
20396,artic.edu,236.887720
20503,smu.edu,348.734184
20525,marmara.edu.tr,1037.591018
20706,montana.edu,152.836386
20753,nau.edu,170.194344
21858,saddleback.edu,59.036832
22323,tafensw.edu.au,645.011730
22966,ucsc.edu,183.903277
23980,csulb.edu,67.280472
25205,utep.edu,320.208164
25695,selcuk.edu.tr,834.172392
26401,kku.edu.sa,1223.949591
26620,niu.edu,262.454440
28186,palmbeachstate.edu,293.167641
29620,macomb.edu,286.954475
30275,tcu.edu,309.662435
30554,uwi.edu,487.526387
30620,ku.edu,273.481916
30970,iium.edu.my,791.166944
32089,unf.edu,336.863170
32340,uvu.edu,305.633826
33066,umsl.edu,245.248269
33231,cod.edu,229.456747
33583,ucv.edu.pe,898.452576
35441,esan.edu.pe,119.244696
35529,uj.edu.sa,904.891338
35534,slcc.edu,226.475282
35862,arabou.edu.kw,1033.987034
36748,nova.edu,334.009187
38522,wvm.edu,40.662115
38753,utsouthwestern.edu,198.208864
39916,pnu.edu.sa,956.509139
40013,uark.edu,193.618810
40318,butte.edu,43.828331
42702,miracosta.edu,177.142397
46513,orangecoastcollege.edu,67.224736
46725,bdu.edu.et,1119.690087
46742,bahria.edu.pk,1204.233758
47455,csusm.edu,102.656452
48069,unomaha.edu,184.080759
48074,uksw.edu,1090.877742
48917,ucanr.edu,222.200304
49304,mesacc.edu,151.101255
49453,uthsc.edu,334.524596
49734,chaffey.edu,284.275942
50881,apu.edu,65.524295
50901,comsats.edu.pk,1262.487727
53462,greenriver.edu,99.136070
53592,louisiana.edu,231.903652
53914,snow.edu,150.656236
53917,usi.edu,268.341620
53991,iau.edu.sa,1034.917058
54165,centralmethodist.edu,187.912917

