id,domain,rtt
2264,e-derslik.edu.az,13.077312
2404,wisc.edu,117.101523
2514,asu.edu,41.415246
2540,ucla.edu,513.950822
2627,illinois.edu,150.247147
2898,virtual.edu.az,490.510724
2969,ufl.edu,176.078928
3039,szu.edu.cn,2117.400999
3218,istanbul.edu.tr,2017.319188
3367,uci.edu,387.983784
3452,washington.edu,403.379783
3690,anadolu.edu.tr,844.369368
3757,ksu.edu.sa,722.405297
4130,tamu.edu,265.274379
4219,minnstate.edu,162.974829
4269,cuhk.edu.hk,1338.027889
4701,uw.edu,368.981859
5266,unsw.edu.au,1147.628559
5341,arizona.edu,328.995416
5562,uopeople.edu,375.031816
6108,brookings.edu,56.586904
6370,valenciacollege.edu,167.923583
6775,fiu.edu,331.630475
6927,laccd.edu,1201.966789
7988,uitm.edu.my,1378.883037
8130,rmit.edu.au,1193.644330
8191,aiou.edu.pk,1361.315323
8840,usf.edu,564.319099
9305,sc.edu,88.973267
9376,miami.edu,75.461075
9505,uconn.edu,112.444589
9556,uic.edu,149.905838
10642,wayne.edu,170.194031
11130,ccc.edu,72.086339
11531,oiu.edu.sd,862.291838
11894,nap.edu,341.939233
12354,utdallas.edu,201.362274
12500,open.edu,458.501261
12609,uga.edu,157.071394
13638,rice.edu,207.339505
13861,cccd.edu,399.226593
13898,uillinois.edu,142.488930
14944,brown.edu,112.638290
14975,fael.edu.br,144.865880
16065,uvm.edu,119.348916
16480,taibahu.edu.sa,1073.679143
17027,chdtu.edu.ua,256.418073
17105,byui.edu,350.695619
18946,gcu.edu,294.902136
19658,ifma.edu.br,322.058447
19674,ien.edu.sa,1482.912346
20395,mtsu.edu,203.677011
20396,artic.edu,150.643503
20503,smu.edu,241.003896
20525,marmara.edu.tr,980.526114
20706,montana.edu,495.911410
20753,nau.edu,141.786576
20857,uncc.edu,125.269326
21858,saddleback.edu,401.407316
22323,tafensw.edu.au,1046.435327
22966,ucsc.edu,325.515394
23980,csulb.edu,386.529720
25205,utep.edu,308.888826
25695,selcuk.edu.tr,833.094264
26401,kku.edu.sa,1161.184805
26620,niu.edu,183.634409
26968,utdt.edu,50.477548
27014,uqu.edu.sa,189.210708
27158,uwa.edu.au,147.712221
27463,bakimektebleri.edu.az,243.955851
28007,babson.edu,86.431878
28186,palmbeachstate.edu,182.899112
29620,macomb.edu,156.112258
30275,tcu.edu,63.063961
30554,uwi.edu,661.009374
30620,ku.edu,235.354493
30970,iium.edu.my,1328.285544
31001,hofstra.edu,1175.287433
32089,unf.edu,179.159069
32340,uvu.edu,663.209658
33066,umsl.edu,220.054349
33231,cod.edu,181.021960
33583,ucv.edu.pe,1692.394962
34778,scu.edu,48.870772
35096,umt.edu.pk,366.797223
35441,esan.edu.pe,645.577598
35529,uj.edu.sa,1267.716591
35534,slcc.edu,1344.169972
35862,arabou.edu.kw,3574.267789
36748,nova.edu,185.876642
37770,dcccd.edu,194.454489
38522,wvm.edu,374.925523
38524,riphah.edu.pk,105.985813
38753,utsouthwestern.edu,288.659388
38997,knutd.edu.ua,538.259464
39916,pnu.edu.sa,1556.659813
40013,uark.edu,223.951077
40318,butte.edu,372.949889
41831,uotechnology.edu.iq,848.395664
42048,eduvision.edu.pk,251.457328
42702,miracosta.edu,613.605240
43554,educause.edu,39.381759
43563,heartbeat.education,16.897759
45964,umary.edu,55.738516
46513,orangecoastcollege.edu,1175.271705
46593,bond.edu.au,176.512809
46725,bdu.edu.et,1070.325078
46742,bahria.edu.pk,1035.509829
47455,csusm.edu,408.960747
48058,aydin.edu.tr,171.496881
48069,unomaha.edu,219.711770
48074,uksw.edu,1794.790811
48533,yufl.edu.mm,31.359259
48917,ucanr.edu,482.595131
48968,uhv.edu,60.037572
49304,mesacc.edu,341.867461
49370,sjcny.edu,59.795588
49453,uthsc.edu,227.986038
49734,chaffey.edu,118.800621
50578,futa.edu.ng,17.751331
50603,dlsu.edu.ph,290.831447
50881,apu.edu,339.946907
50901,comsats.edu.pk,1938.134748
52320,uncw.edu,68.501250
52406,apeejay.edu,41.420696
53387,endicott.edu,1545.566977
53462,greenriver.edu,405.962209
53466,waketech.edu,79.707666
53592,louisiana.edu,198.283297
53734,utesa.edu,58.709044
53914,snow.edu,1033.090298
53917,usi.edu,177.419627
53948,aub.edu.lb,467.322661
53991,iau.edu.sa,1394.351477
54165,centralmethodist.edu,229.519841
54405,quantic.edu,51.071455
1,google.com,14.040594
