id,domain,rtt
2264,e-derslik.edu.az,16.075949
2404,wisc.edu,1104.090318
2514,asu.edu,19.218628
2540,ucla.edu,1029.427665
2627,illinois.edu,1164.941801
2898,virtual.edu.az,351.825285
2969,ufl.edu,1257.258389
3039,szu.edu.cn,800.587777
3218,istanbul.edu.tr,2397.913579
3367,uci.edu,1079.389629
3452,washington.edu,1162.265758
3690,anadolu.edu.tr,1090.055363
3757,ksu.edu.sa,849.723931
4130,tamu.edu,1326.773603
4219,minnstate.edu,964.364017
4269,cuhk.edu.hk,212.943372
4701,uw.edu,847.060970
5266,unsw.edu.au,509.449255
5341,arizona.edu,942.808903
5562,uopeople.edu,107.364844
6108,brookings.edu,1615.772726
6370,valenciacollege.edu,1256.266885
6775,fiu.edu,985.352451
6927,laccd.edu,1325.670858
7988,uitm.edu.my,75.190938
8130,rmit.edu.au,424.954045
8191,aiou.edu.pk,500.715578
8840,usf.edu,1937.731420
9305,sc.edu,923.976809
9376,miami.edu,1202.337675
9505,uconn.edu,1280.627676
9556,uic.edu,1249.443402
10642,wayne.edu,1179.124404
11130,ccc.edu,1268.854656
11531,oiu.edu.sd,1546.147352
11894,nap.edu,1269.396811
12354,utdallas.edu,233.037406
12500,open.edu,873.490309
12609,uga.edu,1113.151994
13638,rice.edu,1089.864303
13861,cccd.edu,1079.883302
13898,uillinois.edu,1224.037286
14944,brown.edu,1251.300119
14975,fael.edu.br,197.185186
16065,uvm.edu,1238.402426
17027,chdtu.edu.ua,211.530074
17105,byui.edu,1072.156906
18946,gcu.edu,852.224000
19658,ifma.edu.br,196.140338
19674,ien.edu.sa,832.549292
20395,mtsu.edu,1394.245533
20396,artic.edu,1381.216011
20503,smu.edu,1153.642344
20525,marmara.edu.tr,1789.766687
20706,montana.edu,1145.802612
20753,nau.edu,813.925791
20857,uncc.edu,1181.657861
21858,saddleback.edu,1757.495270
22323,tafensw.edu.au,593.729604
22966,ucsc.edu,946.102085
23980,csulb.edu,1080.099246
25205,utep.edu,1154.667824
25695,selcuk.edu.tr,1694.154999
26401,kku.edu.sa,1263.399135
26620,niu.edu,1172.297105
26968,utdt.edu,119.933228
27014,uqu.edu.sa,21.097398
27158,uwa.edu.au,110.362365
27463,bakimektebleri.edu.az,333.302139
28007,babson.edu,1065.301245
28186,palmbeachstate.edu,1079.998489
29620,macomb.edu,1351.038720
30275,tcu.edu,1183.068426
30554,uwi.edu,1909.790750
30620,ku.edu,1375.115003
30970,iium.edu.my,60.618242
31001,hofstra.edu,1501.789188
32089,unf.edu,1277.548825
32340,uvu.edu,1477.103360
33066,umsl.edu,1251.681073
33231,cod.edu,1381.402284
33583,ucv.edu.pe,3145.442249
34778,scu.edu,105.214247
35096,umt.edu.pk,27.126421
35441,esan.edu.pe,1123.578889
35529,uj.edu.sa,827.286248
35534,slcc.edu,1094.060247
35862,arabou.edu.kw,1531.344660
36748,nova.edu,1261.186870
37770,dcccd.edu,918.570694
38522,wvm.edu,1088.008048
38524,riphah.edu.pk,20.018934
38753,utsouthwestern.edu,1382.356285
38997,knutd.edu.ua,401.634954
39916,pnu.edu.sa,1025.451749
40013,uark.edu,4837.164535
40318,butte.edu,1097.808291
41831,uotechnology.edu.iq,22.128743
42048,eduvision.edu.pk,38.103523
42702,miracosta.edu,1082.235110
43554,educause.edu,28.708492
43563,heartbeat.education,100.752225
45964,umary.edu,105.734625
46513,orangecoastcollege.edu,1597.286108
46593,bond.edu.au,103.622410
46725,bdu.edu.et,1909.363993
46742,bahria.edu.pk,405.986996
47455,csusm.edu,1208.139266
48058,aydin.edu.tr,23.456962
48069,unomaha.edu,959.001372
48074,uksw.edu,252.542698
48533,yufl.edu.mm,132.858521
48917,ucanr.edu,1028.242385
48968,uhv.edu,1082.496191
49304,mesacc.edu,1045.350498
49370,sjcny.edu,350.118124
49453,uthsc.edu,1241.163938
49734,chaffey.edu,1100.470328
50578,futa.edu.ng,343.313761
50603,dlsu.edu.ph,24.727862
50881,apu.edu,1009.860087
50901,comsats.edu.pk,1115.980406
52320,uncw.edu,1147.012374
52406,apeejay.edu,124.937768
53387,endicott.edu,1570.106130
53462,greenriver.edu,861.211063
53466,waketech.edu,108.997204
53592,louisiana.edu,1194.846566
53734,utesa.edu,997.095778
53914,snow.edu,1128.428029
53917,usi.edu,1217.626799
53948,aub.edu.lb,858.413069
53991,iau.edu.sa,1610.262466
54165,centralmethodist.edu,1198.597431
54405,quantic.edu,117.614599
