id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,5.791442,1.725308,0.855994
155445,www.lincoln.edu,10.090724,1.726806,0.862499
14394,www.american.edu,8.439863,3.476923,1.169448
217283,www.com.edu,9.539807,2.033356,0.836274
93736,gallaudet.edu,9.775828,3.512879,0.952736
228226,www.usuhs.edu,10.147830,3.898360,1.160629
35175,www.ucmerced.edu,4.796876,1.823686,0.853224
113936,www.pointpark.edu,10.605918,9.111562,0.953698
83893,www.kutztown.edu,11.219632,9.166867,1.352446
62242,www.mc3.edu,19.493947,8.646869,1.150609
170060,www.passhe.edu,19.732252,11.458046,1.044404
207595,www.lasu.edu.ng,12.367516,8.645528,1.487882
125492,www.skidmore.edu,15.382471,10.753351,1.010719
157787,www.nichols.edu,16.904700,13.188165,0.900487
16065,www.uvm.edu,17.421667,14.315544,1.218600
68825,uncg.edu,20.241563,10.831643,0.989342
120558,simmons.edu,15.945231,12.101620,0.825726
116499,qu.edu,18.725900,13.390599,0.909870
156616,www.iup.edu,17.507297,14.040429,0.946424
222063,lmunet.edu,20.837450,14.955852,0.964679
65601,www.quinnipiac.edu,17.571189,13.478669,0.897402
144548,www.gordon.edu,21.358065,14.435451,0.834989
9505,www.uconn.edu,23.391771,15.420937,0.965833
29540,www.mass.edu,22.514887,14.061954,1.194119
152353,www.camdencc.edu,20.254118,15.388472,1.546359
78170,www.fairfield.edu,17.675094,14.094802,1.000042
94097,www.lemoyne.edu,18.841113,14.746323,0.848332
103521,www.ulvr.edu.ec,16.776374,14.119402,0.710942
148652,www.berry.edu,24.448502,18.189789,0.907816
49734,www.chaffey.edu,21.104042,17.675513,0.843357
105213,www.ung.edu,20.523379,17.982458,0.902332
135730,www.delmar.edu,20.630745,17.600246,0.910119
161165,www.academiaexitus.edu.pe,18.884413,15.543923,0.946073
9305,www.sc.edu,22.986158,19.497317,0.924047
125406,www.reynolds.edu,27.424101,21.365138,0.848341
195903,www.lycoming.edu,24.391110,18.966269,1.182714
109947,www.plymouth.edu,24.088812,18.987753,1.027140
20396,artic.edu,23.701159,19.293475,0.951985
69123,www.musc.edu,26.158055,19.782668,1.157845
173618,www.colegioebenezer.edu.co,24.243155,21.741722,0.933644
9556,www.uic.edu,24.125808,19.921098,0.968759
54970,www.indwes.edu,22.494596,18.064789,0.877978
115892,www.atlm.edu,40.130147,15.338649,0.900906
171352,bju.edu,38.884688,18.759797,2.744281
132200,www.koi.edu.au,25.747872,21.616454,0.901658
