id,domain,lat,lon,ip
106206,www.westminster.edu,33.424282,-111.924088,131.153.44.94
155445,www.lincoln.edu,39.04372,-77.487488,64.207.145.32
14394,www.american.edu,38.940277,-77.088753,147.9.4.138
217283,www.com.edu,39.04372,-77.487488,216.70.80.146
93736,gallaudet.edu,38.906765,-76.994003,134.231.4.190
228226,www.usuhs.edu,39.000416,-77.105057,71.166.184.14
35175,www.ucmerced.edu,38.631317,-90.192154,162.249.105.233
202623,www.usergioarboleda.edu.co,33.930222,-117.88842,208.97.136.252
113936,www.pointpark.edu,40.447559,-79.99086,167.88.241.131
83893,www.kutztown.edu,40.533779,-75.789543,156.12.1.77
62242,www.mc3.edu,40.608429,-75.490181,192.245.50.80
170060,www.passhe.edu,40.305859,-76.876183,204.235.147.100
207595,www.lasu.edu.ng,40.554516,-74.460167,23.227.131.50
125492,www.skidmore.edu,43.079124,-73.776611,141.222.1.67
157787,www.nichols.edu,42.262589,-71.802292,72.22.183.147
16065,www.uvm.edu,44.478157,-73.200943,132.198.101.197
68825,uncg.edu,36.065994,-79.807091,152.13.17.98
120558,simmons.edu,42.341869,-71.096848,134.140.12.61
116499,qu.edu,41.167042,-73.204826,162.221.8.60
156616,www.iup.edu,40.614574,-79.154724,144.80.198.92
222063,lmunet.edu,38.881008,-77.104279,74.119.255.62
65601,www.quinnipiac.edu,41.167042,-73.204826,162.221.8.60
144548,www.gordon.edu,42.603642,-70.889282,162.12.219.10
9505,www.uconn.edu,41.478989,-72.151192,137.99.26.48
29540,www.mass.edu,42.396847,-71.034241,170.63.127.166
152353,www.camdencc.edu,33.749001,-84.387978,170.249.198.66
78170,www.fairfield.edu,41.31649,-73.093163,192.160.243.84
166441,www.usc.edu.eg,45.31678,-73.865898,192.99.18.229
94097,www.lemoyne.edu,43.038898,-76.073463,192.231.124.149
103521,www.ulvr.edu.ec,41.850029,-87.650047,181.214.31.81
148652,www.berry.edu,36.090851,-79.92717,216.54.215.35
49734,www.chaffey.edu,36.090851,-79.92717,216.54.215.40
105213,www.ung.edu,33.950237,-83.423767,168.30.193.5
135730,www.delmar.edu,36.090851,-79.92717,216.54.215.25
161165,www.academiaexitus.edu.pe,39.04372,-77.487488,170.249.236.208
9305,www.sc.edu,33.975342,-81.007828,65.122.170.137
125406,www.reynolds.edu,37.476814,-77.585251,164.106.88.18
195903,www.lycoming.edu,41.267399,-77.03508,199.91.148.14
109947,www.plymouth.edu,43.753017,-71.692474,158.136.1.77
20396,artic.edu,41.880798,-87.627899,198.40.31.39
69123,www.musc.edu,32.785999,-79.947304,128.23.34.229
173618,www.colegioebenezer.edu.co,41.878201,-87.625397,184.154.206.199
9556,www.uic.edu,41.88026,-87.686119,128.248.155.15
